,원 질병이름,사이트 질병 이름,진료과,동의어,정의
209,요로 감염,요로 감염(Urinary tract infection),"신장내과, 노년내과, 비뇨의학과, 소아신장과, 소아비뇨의학과",요로염,"요로 감염은 신장, 요관, 방광, 요도, 전립선 등 요로계에 미생물이 침입하여 염증성 반응을 유발하는 것을 의미합니다."
210,요폐색 해소 후 요붕증,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
211,이식거부증,이식편대숙주질환(Graft-versus-host reaction or disease(GVHD)),혈액내과,"골수이식 거부반응,이식 후 거부반응","이식편대숙주질환은 동종 조혈모세포 이식, 수혈을 받은 경우, 환자에게 이식된 T림프구가 환자의 세포를 비자기(non-self)로 인식하여 표적 기관을 공격하여 나타나는 질환을 의미합니다."
212,용혈성 요독증후군,용혈성 요독 증후군(Hemolytic Uremic Syndrome),"감염내과, 소화기내과, 신장내과, 소아신장과, 소아감염과","햄버거병, HUS",용혈성 요독 증후군은 4세 이하 영유아나 고령의 환자에게 급성 신부전을 일으키는 질환입니다.
213,일류성 요실금,일출성 요실금(overflow incontinence),비뇨의학과,범람 요실금,"요도가 잘 열리지 않아, 소변이 방광에 가득 차게 되다 못해서 조금씩 새는 경우를 말합니다."
214,일시적 요실금,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
215,임신성 고혈압,임신성 고혈압(Pregnancy-induced hypertension),산부인과,임신성 고혈압,"임신성 고혈압은 임신 기간 중의 혈압이 140/90mmHg 이상이고, 단백뇨를 동반하지 않으며, 분만 후 12주 이내에 정상 혈압이 되는 상태를 말합니다."
216,저혈량증,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),저 혈량 증은 혈액 손실이나 체액 손실로 인해 체내 혈액량이 감소하는 것입니다.
217,전립선염 / 전립선암,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
218,전염성 단핵구증,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
219,절박성 요실금,절박성 요실금(Urge incontinence),비뇨의학과,절박성 요실금,갑자기 소변이 마려운 느낌이 들어서 화장실에 가는 도중이나 미처 속옷을 내리기도 전에 소변을 참지 못하고 소변이 흘러나오는 경우를 말합니다.
220,중추 신경계 이상,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
221,지주막하 출혈,뇌동맥류(Cerebral aneurysm),"영상의학과, 신경외과, 신경중재클리닉","뇌동맥꽈리,뇌지주막하 출혈,두개강 내 동맥류",뇌동맥류는 뇌동맥 일부가 약해져서 그 부분이 풍선이나 꽈리처럼 부풀어 오르는 질환을 의미합니다.
222,커피 / 약물에 의한 요붕증,요붕증(Diabetes insipidus),"내분비내과, 소아내분비대사과",항이뇨호르몬 결핍증,항이뇨호르몬 분비가 부족하거나 신장에서 제 기능을 하지 못하는 상태를 요붕증이라고 합니다.
223,터너증후군,터너 증후군 (Turner syndrome),"의학유전학센터, 소아내분비대사과, 의학유전학과",터너증후군,"터너 증후군은 여성의 키가 작고, 목이 짧고 두꺼우며, 성적 발달이 지연되는 유전 질환입니다."
224,하지신경 손상,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
225,호두까기 증후군,업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병),업데이트 예정 (전처리 중 drop 질병)
